62064|Chris Pine|1980-08-26|Los Angeles, California, USA|Christopher Whitelaw "Chris" Pine (born August 26, 1980) is an American actor. He has appeared in the romantic comedies The Princess Diaries 2: Royal Engagement (2004) and Just My Luck (2006), as well as the action films Smokin' Aces (2007) and Unstoppable (2010). In 2009, he portrayed James T. Kirk in the film Star Trek.\n\nDescription above from the Wikipedia article Chris Pine, licensed under CC-BY-SA, full list of contributors on Wikipedia.
11661|Kate Hudson|1979-04-19|Los Angeles, California, USA|From Wikipedia, the free encyclopedia.\n\nKate Garry Hudson (born April 19, 1979) is an American actress. She came to prominence in 2001 after winning a Golden Globe and receiving several nominations, including a nomination for an Academy Award for Best Supporting Actress, for her role in Almost Famous. She then starred in the hit film How to Lose a Guy in 10 Days (2003) which gained her wider fame. She has since established herself in Hollywood after starring in several productions including Raising Helen (2004), The Skeleton Key (2005), You, Me and Dupree (2006), Fool's Gold (2008) and Bride Wars (2009).
24607|Selva Rasalingam|||null
8167|Paul Walker|1973-09-12|Glendale, California, USA|Paul William Walker IV (September 12, 1973 – November 30, 2013) was an American actor. He became well known in 1999 after his role in the hit film Varsity Blues. However, he was perhaps best known for starring as Brian O'Conner in The Fast and the Furious film series. His other films include Eight Below, Into the Blue, She's All That and Takers.
9281|Elizabeth Banks|1974-02-10|Pittsfield, Massachusetts, USA|Elizabeth Maresal Mitchell (born February 10, 1974), known professionally as Elizabeth Banks, is an American actress. Banks had her film debut in the low-budget independent film Surrender Dorothy. Since then, she has been well-known for her roles in Definitely, Maybe, Zack and Miri Make a Porno, W., Role Models, Wet Hot American Summer, The Uninvited and the Spider-Man franchise. Banks has also portrayed roles as guest star in television shows through her career, including the role of Dr. Kim Briggs, Zach Braff's love interest in the television sitcom Scrubs, and her role as Avery Jessup, Jack Donaghy's wife in 30 Rock.\n\nDescription above from the Wikipedia article Elizabeth Banks, licensed under CC-BY-SA, full list of contributors on Wikipedia.
172150|Alex Manette|1969-10-31|Long Island, New York|
6283|Michael Nyqvist|1960-11-08|Stockholm, Stockholms län, Sweden|Rolf Åke Michael Nyqvist (born November 8, 1960 in Stockholm) is a Swedish actor. Educated at the School of Drama in Malmö, he became well known from his role as police officer Banck in the first series of Beck movies made in 1997. He is recently most recognized for his role in the internationally acclaimed The Girl with the Dragon Tattoo Trilogy as Mikael Blomkvist and is one of Sweden's most beloved actors.\n\nDescription above from the Wikipedia article Michael Nyqvist, licensed under CC-BY-SA, full list of contributors on Wikipedia.
62561|Tessa Thompson|1983-10-03|Los Angeles, California, USA|​From Wikipedia, the free encyclopedia.  \n\nTessa Lynne Thompson (born October 3, 1983) is an American actress. She is perhaps best-known for the role of Jackie Cook on the TV series Veronica Mars.\n\nDescription above from the Wikipedia article Tessa Thompson licensed under CC-BY-SA, full list of contributors on Wikipedia.
84497|Aaron Paul|1979-08-27|Emmett, Idaho, U.S.|Aaron Paul Sturtevant (born August 27, 1979) is an American actor. He is best known for his critically acclaimed role as Jesse Pinkman in the hit AMC series Breaking Bad (2008–13). For his portrayal of Jesse Pinkman, he won the Primetime Emmy Award for Outstanding Supporting Actor in a Drama Series in 2010 and 2012, making him one of five actors to win this award more than once. He also won the Saturn Award for Best Supporting Actor on Television in 2010, 2012, and 2014, making him the only actor to win this award three times.\n\nDescription above from the Wikipedia article Aaron Paul, licensed under CC-BY-SA, full list of contributors on Wikipedia.
30485|CCH Pounder|1952-12-25|Georgetown - British Guiana|From Wikipedia, the free encyclopedia\n\nCarol Christine Hilaria Pounder (born December 25, 1952), known professionally as C. C. H. Pounder (styled "CCH Pounder"), is a Guyanese-American film and television actress. She has appeared in numerous films, made-for-television films, television miniseries and plays, and has made guest appearances on notable television shows.
93491|Will Poulter|1993-11-28|Hammersmith, London, England, UK|English actor William Jack Poulter is most notable for his role as Lee Carter in Son of Rambow, and as Eustace Scrubb in The Chronicles of Narnia: The Voyage of the Dawn Treader.
72983|Manny Pérez|1969-05-05|Baitoa, Dominican Republic|Manuel "Manny" Pérez Batista is a Dominican actor, who has appeared in the television series Third Watch and in the film Washington Heights. He is the cousin of Pulitzer Prize-winning author Junot Diaz.
71586|Alfie Allen|1986-09-12|Hammersmith, London, England|Alfie Allen was born in Hammersmith, London. His older sister is singer Lily Allen. Allen's first professional appearance was in a one-off Channel 4 comedy, You Are Here in 1998. The same year, Allen and his sister Lily appeared in the 1998 film, Elizabeth, which was produced by their mother. His early work included small roles in Agent Cody Banks 2: Destination London, Atonement and BBC1's historical hospital drama, Casualty 1907. In 2008, he took over Daniel Radcliffe's role in the stage play, Equus. Currently, he is best know for his role as Theon Greyjoy in the hit series from HBO, Game of Thrones.  Allen has continued to work in films, appearing in Soulboy, The Kid, Freestyle and Powder in 2010. In 2012, he starred in the upcoming British thriller, Confine. 
1142145|Yûho Yamashita||null|null
1228351|Samantha Munro||null|
18999|J.K. Simmons|1955-01-09|Detroit, Michigan, USA|From Wikipedia, the free encyclopedia\n\nJonathan Kimble "J. K." Simmons (born January 9, 1955) is an American actor. He is perhaps best known for his roles on television as Dr. Emil Skoda in NBC's Law &amp; Order (and other shows in the Law &amp; Order franchise), Assistant Police Chief Will Pope in TNT's The Closer, neo-Nazi Vernon Schillinger in the HBO prison drama Oz, on film as J. Jonah Jameson in the Spider-Man franchise, as Mac MacGuff in Juno, and as the voice of Cave Johnson in Portal 2.\n\nDescription above from the Wikipedia article J.K. Simmons, licensed under CC-BY-SA, full list of contributors on Wikipedia.
1023139|Adam Driver|1983-11-19|San Diego,CA, USA|Adam Douglas Driver, best known for his portrayal of Adam Sackler on the HBO series, Girls, is an Academy Award-nominated American television, cinema and stage actor.  \n\nDriver was born in San Diego, California before moving to Mishawaka, Indiana at the age of seven.  The son of a Baptist Minister, Driver performed regularly with both his church and school choirs.  After graduating high school in 2001, Driver enlisted in the United States Marine Corp, serving four years before accepting an honorable discharge due to injury.  Following his service, Driver attended the University of Indianapolis, before applying to, and being accepted by, Juilliard School’s drama department.   After graduating with a degree in drama studies in 2009, Driver moved to New York City to pursue acting.  There he found success both on and off-Broadway, appearing in numerous plays before landing progressively significant roles in both television and film.  \n\nDriver currently works on the HBO dramedy ‘Girls’ as the complicated and oft-misundertood Adam Sackler, opposite creator Lena Dunham.   In 2014, Driver was confirmed to cast a yet unnamed villain in 2015’s Star Wars: Episode VII.  He remains an active supporter of military service, creating and running Arts in the Armed Forces with his wife, Joanne Tucker.   
