209112|Batman v Superman: Dawn of Justice|2016|5.8|Fearing
140607|Star Wars: The Force Awakens|2015|7.6|Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.|Action-Adventure-Science Fiction-Fantasy
278927|The Jungle Book|2016|6.3|An orphan boy is raised in the Jungle with the help of a pack of wolves, a bear and a black panther.|Adventure-Drama-Fantasy
281957|The Revenant|2015|7.2|In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.|Western-Drama-Adventure-Thriller
131634|The Hunger Games: Mockingjay - Part 2|2015|6.6|With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends – including Gale, Finnick, and Peeta – Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.|Action-Adventure-Drama
76341|Mad Max: Fury Road|2015|7.4|An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.|Science Fiction-Thriller-Action-Adventure
271110|Captain America: Civil War|2016|5.8|Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.|Action-Science Fiction-Thriller
135397|Jurassic World|2015|6.6|Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.|Action-Adventure-Science Fiction-Thriller
293660|Deadpool|2016|7.2|Based upon Marvel Comics’ most unconventional anti-hero, DEADPOOL tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.|Action-Adventure-Comedy
87101|Terminator Genisys|2015|6.0|The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.|Science Fiction-Action-Thriller-Adventure
262500|Insurgent|2015|6.5|Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.|Adventure-Science Fiction-Thriller
299687|The 5th Wave|2016|5.2|16-year-old Cassie Sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the Stone Age.|Action-Adventure-Science Fiction
131631|The Hunger Games: Mockingjay - Part 1|2014|6.8|Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.|Science Fiction-Adventure-Thriller
